si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
lamang 	  lamang 	  _ 	  _ 	  _ 	  _ 	PART
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
mas 	  mas 	  _ 	  _ 	  _ 	  _ 	ADJ
mataas 	  taas 	  ma 	  _ 	  _ 	  _ 	ADJ
naman 	  naman 	  _ 	  _ 	  _ 	  _ 	PART
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pinag-aralan 	  aral 	  pinag 	  _ 	  an 	  _ 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanya 	  kanya 	  _ 	  _ 	  _ 	  _ 	DET
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
tumingin 	  tingin 	  _ 	  um 	  _ 	  _ 	VERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
salvi 	  salvi 	  _ 	  _ 	  _ 	  _ 	PROPN
kay 	  kay 	  _ 	  _ 	  _ 	  _ 	DET
kapitan 	  kapitan 	  _ 	  _ 	  _ 	  _ 	CONJ
tiyago 	  tiyago 	  _ 	  _ 	  _ 	  _ 	PROPN
upang 	upang 	_ 	_ 	_ 	_ 	SCONJ
mapigilan 	  pigil 	  ma 	  _ 	  an 	  _ 	VERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
donya 	  donya 	  _ 	  _ 	  _ 	  _ 	PROPN
victorina 	  victorina 	  _ 	  _ 	  _ 	  _ 	PROPN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pagsasalita 	  salita 	  pag 	  _ 	  _ 	  sa 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
pakisabi 	  sabi 	  paki 	  _ 	  _ 	  _ 	ADVERB
mo 	  mo 	  _ 	  _ 	  _ 	  _ 	PRON
kay 	  kay 	  _ 	  _ 	  _ 	  _ 	DET
isabel 	  isabel 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
santiago 	  santiago 	  _ 	  _ 	  _ 	  _ 	PROPN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
ihanda 	  handa 	  i 	  _ 	  _ 	  _ 	VERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
maria 	  maria 	  _ 	  _ 	  _ 	  _ 	PROPN
clara 	  clara 	  _ 	  _ 	  _ 	  _ 	PROPN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pangungumunyon 	  ungumunyon 	  pang 	  _ 	  _ 	  _ 	NOUN
bukas 	  bukas 	  _ 	  _ 	  _ 	  _ 	ADVERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

mamayang 	  maya 	  _ 	  _ 	  ng 	  ma 	ADVERB
gabi 	  gabi 	  _ 	  _ 	  _ 	  _ 	NOUN
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
babalik 	  balik 	  _ 	  _ 	  _ 	  ba 	VERB
para 	  para 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
pangungumpisal 	  kumpisal 	  pang 	  _ 	  _ 	  ku 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ngu 	  ngu 	  _ 	  _ 	  _ 	  _ 	INTJ
... 	  ... 	  _ 	  _ 	  _ 	  _ 	SYM
ngunit 	  ngunit 	  _ 	  _ 	  _ 	  _ 	SCONJ
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
salvi 	  salvi 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
baka 	  baka 	  _ 	  _ 	  _ 	  _ 	ADVERB
akalain 	  akala 	  _ 	  _ 	  in 	  _ 	VERB
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
maria 	  maria 	  _ 	  _ 	  _ 	  _ 	PROPN
clara 	  clara 	  _ 	  _ 	  _ 	  _ 	PROPN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
malubha 	  lubha 	  ma 	  _ 	  _ 	  _ 	ADJ
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
huwag 	  huwag 	  _ 	  _ 	  _ 	  _ 	ADVERB
kang 	  kang 	  _ 	  _ 	  _ 	  _ 	PRON
mabahala 	  bahala 	  ma 	  _ 	  _ 	  _ 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

marami 	  dami 	  ma 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
akong 	  akong 	  _ 	  _ 	  _ 	  _ 	PRON
kinumpisalan 	  kumpisal 	  _ 	  in 	  an 	  _ 	VERB
at 	at 	_ 	_ 	_ 	_ 	CONJ
nangumunyong 	  kumunyon 	  nang 	  _ 	  g 	  _ 	VERB
gumaling 	  galing 	  _ 	  um 	  _ 	  _ 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
nakita 	  kita 	  na 	  _ 	  _ 	  _ 	VERB
nilang 	  nilang 	  _ 	  _ 	  _ 	  _ 	PRON
pumasok 	  pasok 	  _ 	  um 	  _ 	  _ 	VERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
tiya 	  tiya 	  _ 	  _ 	  _ 	  _ 	PROPN
isabel 	  isabel 	  _ 	  _ 	  _ 	  _ 	PROPN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
silid 	  silid 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
maysakit 	  sakit 	  may 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

samantala 	  samantala 	  _ 	  _ 	  _ 	  _ 	SCONJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
binabantayan 	  babtayan 	  _ 	  in 	  an 	  _ 	VERB
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
rin 	  rin 	  _ 	  _ 	  _ 	  _ 	PART
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
sinang 	  sinang 	  _ 	  _ 	  _ 	  _ 	PROPN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
dalaga 	  dalaga 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
inumin 	  inum 	  _ 	  _ 	  in 	  _ 	VERB
mo 	  mo 	  _ 	  _ 	  _ 	  _ 	PRON
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
itong 	  itong 	  _ 	  _ 	  _ 	  _ 	PRON
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
pildoras 	  pildoras 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
himok 	  himok 	  _ 	  _ 	  _ 	  _ 	ADVERB
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
sinang 	  sinang 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ngunit 	  ngunit 	  _ 	  _ 	  _ 	  _ 	SCONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kinuha 	  kuha 	  _ 	  in 	  _ 	  _ 	VERB
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
maria 	  maria 	  _ 	  _ 	  _ 	  _ 	PROPN
clara 	  clara 	  _ 	  _ 	  _ 	  _ 	PROPN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
gamot 	  gamot 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
itinago 	  tago 	  i 	  in 	  _ 	  _ 	VERB
niya 	  niya 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
bulsa 	  bulsa 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
ba 	  ba 	  _ 	  _ 	  _ 	  _ 	PART
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
sumulat 	  sulat 	  _ 	  um 	  _ 	  _ 	VERB
man 	  man 	  _ 	  _ 	  _ 	  _ 	PART
lang 	  lang 	  _ 	  _ 	  _ 	  _ 	PART
? 	  ? 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
marami 	  dami 	  ma 	  _ 	  _ 	  _ 	ADJ
siyang 	  siyang 	  _ 	  _ 	  _ 	  _ 	PRON
inaasikaso 	  asikaso 	  in 	  _ 	  _ 	  a 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
wala 	  wala 	  _ 	  _ 	  _ 	  _ 	ADVERB
ba 	  ba 	  _ 	  _ 	  _ 	  _ 	PART
siyang 	  siyang 	  _ 	  _ 	  _ 	  _ 	PRON
anumang 	  anumang 	  _ 	  _ 	  _ 	  _ 	CONJ
ipinagbilin 	  bilin 	  ipag 	  in 	  _ 	  _ 	VERB
? 	  ? 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
pupunta 	  punta 	  _ 	  _ 	  _ 	  pu 	VERB
raw 	  raw 	  _ 	  _ 	  _ 	  _ 	PART
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
arsobispo 	  arsobispo 	  _ 	  _ 	  _ 	  _ 	PROPN
upang 	upang 	_ 	_ 	_ 	_ 	SCONJ
asikasuhin 	  asikaso 	  _ 	  _ 	  hin 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
pagiging 	  pagiging 	  _ 	  _ 	  _ 	  _ 	VERB
ekskomunikado 	  ekskomunikado 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
natigil 	  tigil 	  na 	  _ 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pag-uusap 	  usap 	  pag 	  _ 	  _ 	  u 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
magkaibigan 	  ibig 	  magka 	  _ 	  an 	  _ 	NOUN
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
lumapit 	  lapit 	  _ 	  um 	  _ 	  _ 	VERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
tiya 	  tiya 	  _ 	  _ 	  _ 	  _ 	PROPN
isabel 	  isabel 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sinabi 	  sabi 	  _ 	  in 	  _ 	  _ 	VERB
nitong 	  nito 	  _ 	  _ 	  ng 	  _ 	PRON
maghanda 	  handa 	  mag 	  _ 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
dalaga 	  dalaga 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pangungumpisal 	  kumpisal 	  pang 	  _ 	  _ 	  ku 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
kakukumpisal 	  kumpisal 	  ka 	  _ 	  _ 	  ku 	VERB
lamang 	  lamang 	  _ 	  _ 	  _ 	  _ 	PART
niya 	  niya 	  _ 	  _ 	  _ 	  _ 	PRON
noong 	  noong 	  _ 	  _ 	  _ 	  _ 	ADVERB
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
linggo 	  linggo 	  _ 	  _ 	  _ 	  _ 	ADVERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
sakit 	  sakit 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
naman 	  naman 	  _ 	  _ 	  _ 	  _ 	PART
nagkakasala 	  sala 	  nagka 	  _ 	  _ 	  ka 	VERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
maria 	  maria 	  _ 	  _ 	  _ 	  _ 	PROPN
clara 	  clara 	  _ 	  _ 	  _ 	  _ 	PROPN
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
karamdaman 	  damdam 	  ka 	  _ 	  an 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
akala 	  akala 	  _ 	  _ 	  _ 	  _ 	VERB
n'yo 	  n'yo 	  _ 	  _ 	  _ 	  _ 	PRON
lang 	  lang 	  _ 	  _ 	  _ 	  _ 	PART
iyan 	  iyan 	  _ 	  _ 	  _ 	  _ 	PRON
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sabi 	  sabi 	  _ 	  _ 	  _ 	  _ 	VERB
nga 	  nga 	  _ 	  _ 	  _ 	  _ 	PART
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
salvi 	  salvi 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
pito 	  pito 	  _ 	  _ 	  _ 	  _ 	CONJ
tayong 	  tayong 	  _ 	  _ 	  _ 	  _ 	PRON
kasalanang 	  sala 	  ka 	  _ 	  ang 	  _ 	NOUN
nagagawa 	  gawa 	  na 	  _ 	  _ 	  ga 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
natin 	  natin 	  _ 	  _ 	  _ 	  _ 	PRON
namamalayan 	  malay 	  na 	  _ 	  an 	  ma 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
samantala 	  samantala 	  _ 	  _ 	  _ 	  _ 	SCONJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
habang 	  habang 	  _ 	  _ 	  _ 	  _ 	ADVERB
kumukuha 	  kuha 	  _ 	  um 	  _ 	  ku 	VERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
tiya 	  tiya 	  _ 	  _ 	  _ 	  _ 	PROPN
isabel 	  isabel 	  _ 	  _ 	  _ 	  _ 	PROPN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
upuan 	  upo 	  _ 	  _ 	  an 	  _ 	NOUN
para 	  para 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kurang 	  kurang 	  _ 	  _ 	  _ 	  _ 	NOUN
magbibigay 	  bigay 	  mag 	  _ 	  _ 	  bi 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
kumpisal 	  kumpisal 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ibinulong 	  bulo 	  i 	  in 	  ng 	  _ 	VERB
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
maria 	  maria 	  _ 	  _ 	  _ 	  _ 	PROPN
clara 	  clara 	  _ 	  _ 	  _ 	  _ 	PROPN
kay 	  kay 	  _ 	  _ 	  _ 	  _ 	DET
sinang 	  sinang 	  _ 	  _ 	  _ 	  _ 	PROPN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
sabihin 	  sabi 	  _ 	  _ 	  hin 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kasintahang 	  sinta 	  ka 	  _ 	  hang 	  _ 	NOUN
limutin 	  limot 	  _ 	  _ 	  in 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	PART
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ano 	  ano 	  _ 	  _ 	  _ 	  _ 	PRON
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
limutin 	  limot 	  _ 	  _ 	  in 	  _ 	VERB
ka 	  ka 	  _ 	  _ 	  _ 	  _ 	PRON
na 	  na 	  _ 	  _ 	  _ 	  _ 	PART
? 	  ? 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
pagtatakang 	  taka 	  pag 	  _ 	  ng 	  ta 	ADJ
tanong 	  tanong 	  _ 	  _ 	  _ 	  _ 	CONJ
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
sinang 	  sinang 	  _ 	  _ 	  _ 	  _ 	PROPN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
dalaga 	  dalaga 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

naputol 	  putol 	  na 	  _ 	  _ 	  _ 	ADJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pag-uusap 	  usap 	  pag 	  _ 	  _ 	  u 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
dalawa 	  dalawa 	  _ 	  _ 	  _ 	  _ 	NOUN
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
lumapit 	  lapit 	  _ 	  um 	  _ 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	PART
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
tiya 	  tiya 	  _ 	  _ 	  _ 	  _ 	PROPN
isabel 	  isabel 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

binuksan 	  bukas 	  _ 	  in 	  an 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
tiyahin 	  tiyahin 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
maliit 	  liit 	  ma 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
aklat-dasalan 	  aklat-dasal 	  _ 	  _ 	  an 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

binasa 	  basa 	  _ 	  in 	  _ 	  _ 	VERB
muna 	  muna 	  _ 	  _ 	  _ 	  _ 	PART
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
tiya 	  tiya 	  _ 	  _ 	  _ 	  _ 	PROPN
isabel 	  isabel 	  _ 	  _ 	  _ 	  _ 	PROPN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
sampung 	  sampu 	  _ 	  _ 	  ng 	  _ 	ADJ
utos 	  utos 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

marahan 	  dahan 	  ma 	  _ 	  _ 	  _ 	ADVERB
niyang 	  niyang 	  _ 	  _ 	  _ 	  _ 	PRON
binasa 	  basa 	  _ 	  in 	  _ 	  _ 	VERB
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pamangkin 	  pamangkin 	  _ 	  _ 	  _ 	  _ 	NOUN
upang 	upang 	_ 	_ 	_ 	_ 	SCONJ
maunawaan 	  unawa 	  ma 	  _ 	  an 	  _ 	VERB
daw 	  daw 	  _ 	  _ 	  _ 	  _ 	PART
ng 	ng 	_ 	_ 	_ 	_ 	ADP
dalaga 	  dalaga 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
makapagtika 	  tika 	  makapag 	  _ 	  _ 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	PART
rin 	  rin 	  _ 	  _ 	  _ 	  _ 	PART
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

natutuwa 	  tuwa 	  na 	  _ 	  _ 	  tu 	VERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
tiya 	  tiya 	  _ 	  _ 	  _ 	  _ 	PROPN
isabel 	  isabel 	  _ 	  _ 	  _ 	  _ 	PROPN
kapag 	  kapag 	  _ 	  _ 	  _ 	  _ 	ADVERB
nakikitang 	  kita 	  na 	  _ 	  ng 	  ki 	VERB
lumuluha 	  luha 	  _ 	  um 	  _ 	  lu 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pamangkin 	  pamangkin 	  _ 	  _ 	  _ 	  _ 	NOUN
ngunit 	  ngunit 	  _ 	  _ 	  _ 	  _ 	SCONJ
nanlalaki 	  laki 	  nan 	  _ 	  _ 	  la 	ADJ
naman 	  naman 	  _ 	  _ 	  _ 	  _ 	PART
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mata 	  mata 	  _ 	  _ 	  _ 	  _ 	NOUN
nito 	  nito 	  _ 	  _ 	  _ 	  _ 	PRON
kapag 	  kapag 	  _ 	  _ 	  _ 	  _ 	ADVERB
nakikitang 	  kita 	  na 	  _ 	  ng 	  ki 	VERB
naghihikab 	  hikab 	  nag 	  _ 	  _ 	  hi 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pamangkin 	  pamangkin 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

pagkaraang 	  daan 	  pagka 	  _ 	  g 	  _ 	ADVERB
gabayang 	  gabayang 	  _ 	  _ 	  _ 	  _ 	ADVERB
makapagsuri 	  suri 	  makapag 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
sarili 	  sarili 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pamangkin 	  pamangkin 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
tumayo 	  tayo 	  _ 	  um 	  _ 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	PART
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
tiya 	  tiya 	  _ 	  _ 	  _ 	  _ 	PROPN
isabel 	  isabel 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

napansin 	  pansin 	  na 	  _ 	  _ 	  _ 	VERB
naman 	  naman 	  _ 	  _ 	  _ 	  _ 	PART
nitong 	  nito 	  _ 	  _ 	  ng 	  _ 	PRON
nagtirik 	  tirik 	  nag 	  _ 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
malaking 	  laki 	  ma 	  _ 	  ng 	  _ 	ADJ
kandila 	  kandila 	  _ 	  _ 	  _ 	  _ 	NOUN
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
kapitan 	  kapitan 	  _ 	  _ 	  _ 	  _ 	CONJ
tiyago 	  tiyago 	  _ 	  _ 	  _ 	  _ 	PROPN
para 	  para 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
mahal 	  mahal 	  _ 	  _ 	  _ 	  _ 	PROPN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
birhen 	  birhen 	  _ 	  _ 	  _ 	  _ 	PROPN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
antipolo 	  antipolo 	  _ 	  _ 	  _ 	  _ 	PROPN
at 	at 	_ 	_ 	_ 	_ 	CONJ
dalawang 	  dalawa 	  _ 	  _ 	  ng 	  _ 	ADJ
maliit 	  liit 	  ma 	  _ 	  _ 	  _ 	ADJ
namang 	  namang 	  _ 	  _ 	  _ 	  _ 	PART
kandila 	  kandila 	  _ 	  _ 	  _ 	  _ 	NOUN
para 	  para 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
nuestra 	  nuestra 	  _ 	  _ 	  _ 	  _ 	CONJ
senora 	  senora 	  _ 	  _ 	  _ 	  _ 	PROPN
del 	  del 	  _ 	  _ 	  _ 	  _ 	PROPN
rosario 	  rosario 	  _ 	  _ 	  _ 	  _ 	PROPN
at 	at 	_ 	_ 	_ 	_ 	CONJ
nuestra 	  nuestra 	  _ 	  _ 	  _ 	  _ 	CONJ
senora 	  senora 	  _ 	  _ 	  _ 	  _ 	PROPN
del 	  del 	  _ 	  _ 	  _ 	  _ 	CONJ
pilar 	  pilar 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

madilim-dilim 	  dilim-dilim 	  ma 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	PART
noon 	  noon 	  _ 	  _ 	  _ 	  _ 	ADVERB
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
dumating 	  dating 	  _ 	  um 	  _ 	  _ 	VERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
salvi 	  salvi 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sinamahan 	  sama 	  _ 	  in 	  han 	  _ 	VERB
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
